L,T,reduced_t,magnetization,chi,scaled_M,scaled_chi
8,1.5000,-6.1535,0.987812,0.0282,1.281034,0.0007
8,1.7222,-4.3757,0.961875,0.1122,1.247398,0.0029
8,1.9444,-2.5979,0.942813,0.2096,1.222677,0.0055
8,2.1667,-0.8201,0.854062,0.4587,1.107582,0.0121
8,2.3889,0.9576,0.701562,14.4211,0.909814,0.3790
8,2.6111,2.7354,0.490938,7.0536,0.636667,0.1854
8,2.8333,4.5132,0.388750,4.5097,0.504146,0.1185
8,3.0556,6.2910,0.280000,2.3968,0.363115,0.0630
8,3.2778,8.0687,0.255312,1.9298,0.331099,0.0507
8,3.5000,9.8465,0.259375,1.8118,0.336368,0.0476
16,1.5000,-12.3070,0.986016,0.0251,1.394437,0.0002
16,1.7222,-8.7514,0.966016,0.0979,1.366152,0.0008
16,1.9444,-5.1959,0.921641,0.3406,1.303397,0.0027
16,2.1667,-1.6403,0.818984,1.5152,1.158219,0.0118
16,2.3889,1.9153,0.539219,34.2269,0.762570,0.2674
16,2.6111,5.4708,0.327188,12.8365,0.462713,0.1003
16,2.8333,9.0264,0.211797,5.7637,0.299526,0.0450
16,3.0556,12.5819,0.164375,3.5071,0.232461,0.0274
16,3.2778,16.1375,0.146016,2.6557,0.206497,0.0207
16,3.5000,19.6930,0.110156,1.4646,0.155784,0.0114